id, specie, body, feathers, beak, eyes, eyewear, headwear, outerwear, background
190, Owl, Crescent, Black, Small - Orange, Relaxed - Green, , Wizard's Hat, , Blue
191, Owl, Crescent, Red, Small - Orange, Heart - Epic, , , Hoodie, Green
192, Owl, Crescent, Brown, Short - Orange, Relaxed - Blue, , Headphones, , Green
193, Owl, Professor, Brown, Short - Gray, Side-eye - Blue, , Karate Band, , Blue
194, Owl, Stark, Blue, Small - Orange, Discerning - Purple, , , , Green
195, Owl, Crescent, Gray, Long - Gray, , Gazelles, , , Pink
196, Owl, Crescent, Gray, Short - Gray, Discerning - Purple, , Moon Hat, , Green
197, Owl, Emperor, Brown, Short - Gray, Relaxed - Red, , Headphones, , Pink
198, Owl, Crescent, Pink, Small - Gray, Side-eye - Gray, , Captain's Cap, , Purple
199, Owl, Tranquil, Blue, Small - Orange, Open - Purple, Big Tech, Mohawk (Pink), , Blue
200, Owl, Stark, Green, Long - Orange, Side-eye - Gray, , Space Helmet, , Purple
201, Robot, Robot, Metal, Short - Robot, , Visor, Backwards Hat, Hoodie Down, Gray
202, Owl, Tranquil, Gray, Small - Orange, Angry - White, , , Jean Jacket, Pink
203, Owl, Crescent, Purple, Short - Gray, , Gazelles, Mohawk (Pink), Hoodie Down, Blue
204, Owl, Tabby, Gray, Small - Gray, , Gazelles, Raincloud, , Blue
205, Owl, Tabby, Green, Short - Orange, , 3D Glasses, , , Green
206, Owl, Stark, Purple, Small - Orange, Open - Red, , Backwards Hat, , Yellow
207, Owl, Tabby, Gray, Short - Orange, , Rose-Colored Glasses, Bow, , Blue
208, Owl, Tabby, Red, Small - Orange, Side-eye - Green, , Pirate's Hat, , Green
209, Owl, Tabby, Brown, Long - Orange, Side-eye - Gray, , , , Purple
210, Owl, Stark, Red, Short - Gray, Discerning - Blue, , Moon Hat, , Purple
211, Owl, Brave, Brown, Short - Gray, Discerning - Yellow, Monocle, , , Blue
212, Owl, Stark, Pink, Small - Gray, Angry - Red, , Queen's Crown, , Yellow
213, Owl, Tabby, Blue, Long - Gray, Open - Green, , Queen's Crown, , Blue
214, Owl, Emperor, White, Small - Gray, Adorable - Epic, , Karate Band, Punk Jacket, Green
215, Owl, Sage, Blue, Short - Orange, Angry - White, , Mohawk (Green), , Yellow
216, Owl, Stark, Gray, Short - Gray, Open - White, , Cowboy Hat, Jean Jacket, Pink
217, Owl, Crescent, Red, Long - Orange, Discerning - Red, , Headband, , Pink
218, Owl, Guardian, Black, Short - Gray, Discerning - Yellow, , Bow, , Green
219, Owl, Professor, Blue, Short - Gray, Discerning - Green, , Crescent Talisman, , Purple
220, Owl, Tranquil, Brown, Small - Orange, Discerning - Purple, , , , Gray
221, Owl, Crescent, Blue, Short - Gray, Open - Yellow, , Aviator's Cap, , Blue
222, Owl, Emperor, Green, Short - Gray, Open - Blue, , Flower, , Green
223, Owl, Crescent, Red, Long - Orange, Discerning - Blue, , Raincloud, , Green
224, Owl, Tranquil, Green, Short - Orange, Discerning - Red, , Mohawk (Green), , Yellow
225, Owl, Brave, Green, Small - Gray, Side-eye - White, , , , Green
226, Owl, Emperor, Green, Short - Orange, Open - Purple, , Dancing Flame, , Yellow
227, Owl, Crescent, Black, Small - Orange, Relaxed - Red, , Lincoln, Punk Jacket, Purple
228, Owl, Stark, Gray, Small - Orange, Side-eye - White, , Aviator's Cap, , Pink
229, Owl, Tranquil, Red, Small - Orange, , 3D Glasses, , Diamond Necklace, Purple
230, Owl, Professor, Black, Long - Gray, Side-eye - Yellow, , , , Green
231, Owl, Guardian, Brown, Short - Gray, Open - Red, , Queen's Crown, , Gray
232, Owl, Crescent, Brown, Short - Orange, Discerning - Green, , Lincoln, , Pink
233, Owl, Guardian, Red, Small - Gray, , Aviators, Space Helmet, , Gray
234, Owl, Tranquil, Gray, Short - Gray, Open - Green, , Space Helmet, , Gray
235, Owl, Brave, White, Short - Orange, Side-eye - Green, , Bandana, , Blue
236, Owl, Stark, Red, Small - Gray, Open - Green, Half-moon Spectacles, Fire, , Gray
237, Owl, Tranquil, Gray, Short - Orange, Discerning - Red, , Headphones, , Green
238, Owl, Brave, Gray, Long - Orange, Open - White, , Raincloud, , Green
